NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.70423E-03,  4.77710E-03,  4.82094E-03,  4.83480E-03,  4.81836E-03,  4.77196E-03,  4.69656E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.27039E-03,  4.48254E-03,  4.67581E-03,  4.84654E-03,  4.99130E-03,  5.10705E-03,  5.19125E-03,  5.24200E-03,  5.25811E-03,  5.23920E-03,  5.18568E-03,  5.09873E-03,  4.98028E-03,  4.83289E-03,  4.65961E-03,  4.46389E-03,  4.24941E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.78479E-03,  4.06346E-03,  4.33450E-03,  4.59367E-03,  4.83652E-03,  5.05854E-03,  5.25528E-03,  5.42256E-03,  5.55664E-03,  5.65437E-03,  5.71338E-03,  5.73221E-03,  5.71036E-03,  5.64833E-03,  5.54763E-03,  5.41062E-03,  5.24047E-03,  5.04095E-03,  4.81627E-03,  4.57088E-03,  4.30934E-03,  4.03611E-03,  3.75543E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  3.39127E-03,  3.70818E-03,  4.02652E-03,  4.34223E-03,  4.65076E-03,  4.94712E-03,  5.22599E-03,  5.48194E-03,  5.70954E-03,  5.90366E-03,  6.05966E-03,  6.17361E-03,  6.24256E-03,  6.26466E-03,  6.23929E-03,  6.16708E-03,  6.04990E-03,  5.89072E-03,  5.69348E-03,  5.46285E-03,  5.20399E-03,  4.92235E-03,  4.62340E-03,  4.31248E-03,  3.99459E-03,  3.67432E-03,  3.35574E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.88219E-03,  3.21975E-03,  3.56804E-03,  3.92384E-03,  4.28324E-03,  4.64160E-03,  4.99363E-03,  5.33344E-03,  5.65472E-03,  5.95084E-03,  6.21520E-03,  6.44144E-03,  6.62378E-03,  6.75729E-03,  6.83826E-03,  6.86434E-03,  6.83473E-03,  6.75024E-03,  6.61323E-03,  6.42744E-03,  6.19780E-03,  5.93013E-03,  5.63082E-03,  5.30651E-03,  4.96385E-03,  4.60920E-03,  4.24847E-03,  3.88698E-03,  3.52938E-03,  3.17959E-03,  2.84085E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.28833E-03,  2.62719E-03,  2.98492E-03,  3.35960E-03,  3.74857E-03,  4.14836E-03,  4.55462E-03,  4.96209E-03,  5.36466E-03,  5.75538E-03,  6.12668E-03,  6.47055E-03,  6.77886E-03,  7.04372E-03,  7.25786E-03,  7.41510E-03,  7.51068E-03,  7.54161E-03,  7.50688E-03,  7.40750E-03,  7.24648E-03,  7.02858E-03,  6.76002E-03,  6.44809E-03,  6.10072E-03,  5.72608E-03,  5.33223E-03,  4.92679E-03,  4.51672E-03,  4.10818E-03,  3.70644E-03,  3.31588E-03,  2.93995E-03,  2.58133E-03,  2.24191E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.96850E-03,  2.31520E-03,  2.68624E-03,  3.08052E-03,  3.49622E-03,  3.93064E-03,  4.38007E-03,  4.83976E-03,  5.30379E-03,  5.76509E-03,  6.21550E-03,  6.64597E-03,  7.04676E-03,  7.40782E-03,  7.71931E-03,  7.97208E-03,  8.15823E-03,  8.27168E-03,  8.30857E-03,  8.26760E-03,  8.15007E-03,  7.95984E-03,  7.70300E-03,  7.38746E-03,  7.02242E-03,  6.61778E-03,  6.18363E-03,  5.72975E-03,  5.26527E-03,  4.79839E-03,  4.33620E-03,  3.88466E-03,  3.44854E-03,  3.03154E-03,  2.63636E-03,  2.26480E-03,  1.91794E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.28448E-03,  1.60256E-03,  1.94953E-03,  2.32584E-03,  2.73137E-03,  3.16536E-03,  3.62616E-03,  4.11114E-03,  4.61645E-03,  5.13695E-03,  5.66602E-03,  6.19559E-03,  6.71609E-03,  7.21666E-03,  7.68547E-03,  8.11009E-03,  8.47815E-03,  8.77803E-03,  8.99963E-03,  9.13506E-03,  9.17933E-03,  9.13071E-03,  8.99091E-03,  8.76492E-03,  8.46062E-03,  8.08813E-03,  7.65914E-03,  7.18606E-03,  6.68139E-03,  6.15704E-03,  5.62394E-03,  5.09171E-03,  4.56847E-03,  4.06088E-03,  3.57409E-03,  3.11193E-03,  2.67706E-03,  2.27106E-03,  1.89470E-03,  1.54804E-03,  1.23059E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  8.89557E-04,  1.19662E-03,  1.53586E-03,  1.90864E-03,  2.31593E-03,  2.75813E-03,  3.23491E-03,  3.74498E-03,  4.28591E-03,  4.85385E-03,  5.44333E-03,  6.04709E-03,  6.65593E-03,  7.25871E-03,  7.84247E-03,  8.39276E-03,  8.89418E-03,  9.33115E-03,  9.68881E-03,  9.95409E-03,  1.01167E-02,  1.01702E-02,  1.01121E-02,  9.94484E-03,  9.67484E-03,  9.31239E-03,  8.87058E-03,  8.36432E-03,  7.80927E-03,  7.22094E-03,  6.61385E-03,  6.00106E-03,  5.39379E-03,  4.80129E-03,  4.23087E-03,  3.68800E-03,  3.17653E-03,  2.69889E-03,  2.25631E-03,  1.84911E-03,  1.47682E-03,  1.13844E-03,  8.32526E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  4.69436E-04,  7.58508E-04,  1.08201E-03,  1.44221E-03,  1.84113E-03,  2.28041E-03,  2.76112E-03,  3.28357E-03,  3.84704E-03,  4.44947E-03,  5.08720E-03,  5.75460E-03,  6.44383E-03,  7.14455E-03,  7.84385E-03,  8.52633E-03,  9.17438E-03,  9.76888E-03,  1.02901E-02,  1.07189E-02,  1.10383E-02,  1.12348E-02,  1.12997E-02,  1.12300E-02,  1.10286E-02,  1.07041E-02,  1.02701E-02,  9.74361E-03,  9.14373E-03,  8.49034E-03,  7.80271E-03,  7.09854E-03,  6.39338E-03,  5.70023E-03,  5.02949E-03,  4.38905E-03,  3.78456E-03,  3.21967E-03,  2.69640E-03,  2.21544E-03,  1.77643E-03,  1.37823E-03,  1.01915E-03,  6.97088E-04,  4.09733E-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
