 -3.27976E-02, -3.48838E-02, -3.72369E-02, -3.99051E-02, -4.29450E-02, -4.64223E-02, -5.04090E-02, -5.49760E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.94915E-02, -5.43395E-02, -4.98592E-02, -4.59655E-02, -4.25737E-02, -3.96071E-02, -3.69996E-02, -3.46955E-02,
 -3.35648E-02, -3.58110E-02, -3.83702E-02, -4.13072E-02, -4.47027E-02, -4.86564E-02, -5.32891E-02, -5.87398E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.30537E-02, -5.70831E-02, -5.19997E-02, -4.76582E-02, -4.39299E-02, -4.07073E-02, -3.79025E-02, -3.54447E-02,
 -3.42320E-02, -3.66222E-02, -3.93690E-02, -4.25542E-02, -4.62835E-02, -5.06946E-02, -5.59649E-02, -6.23192E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.62422E-02, -5.94952E-02, -5.38558E-02, -4.91103E-02, -4.50837E-02, -4.16373E-02, -3.86620E-02, -3.60722E-02,
 -3.47754E-02, -3.72848E-02, -4.01876E-02, -4.35807E-02, -4.75926E-02, -5.23955E-02, -5.82216E-02, -6.53822E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.87730E-02, -6.13908E-02, -5.53047E-02, -5.02387E-02, -4.59777E-02, -4.23566E-02, -3.92487E-02, -3.65567E-02,
 -3.51744E-02, -3.77701E-02, -4.07854E-02, -4.43280E-02, -4.85420E-02, -5.36244E-02, -5.98459E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.26043E-02, -5.62397E-02, -5.09728E-02, -4.65638E-02, -4.28315E-02, -3.96388E-02, -3.68809E-02,
 -3.54138E-02, -3.80568E-02, -4.11323E-02, -4.47520E-02, -4.90662E-02, -5.42803E-02, -6.06772E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.30280E-02, -5.65917E-02, -5.12668E-02, -4.68109E-02, -4.30405E-02, -3.98167E-02, -3.70334E-02,
 -3.54851E-02, -3.81338E-02, -4.12128E-02, -4.48313E-02, -4.91348E-02, -5.43193E-02, -6.06506E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.26389E-02, -5.63435E-02, -5.11079E-02, -4.67093E-02, -4.29763E-02, -3.97771E-02, -3.70101E-02,
 -3.53876E-02, -3.80007E-02, -4.10279E-02, -4.45695E-02, -4.87566E-02, -5.37616E-02, -5.98096E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.15018E-02, -5.55322E-02, -5.05178E-02, -4.62722E-02, -4.26469E-02, -3.95248E-02, -3.68140E-02,
 -3.51281E-02, -3.76680E-02, -4.05941E-02, -4.39932E-02, -4.79760E-02, -5.26820E-02, -5.82851E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.97480E-02, -5.42383E-02, -4.95473E-02, -4.55323E-02, -4.20739E-02, -3.90745E-02, -3.64553E-02,
NA, -3.71551E-02, -3.99402E-02, -4.31464E-02, -4.68611E-02, -5.11893E-02, -5.62529E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.75410E-02, -5.25677E-02, -4.82660E-02, -4.45363E-02, -4.12893E-02, -3.84485E-02,NA,
