NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -2.07611E-02, -2.09577E-02, -2.11689E-02, -2.14057E-02, -2.16769E-02, -2.19875E-02, -2.23364E-02, -2.27157E-02, -2.31107E-02, -2.35019E-02, -2.38674E-02, -2.41855E-02, -2.44377E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -2.08820E-02, -2.10566E-02, -2.12211E-02, -2.13889E-02, -2.15769E-02, -2.18029E-02, -2.20825E-02, -2.24260E-02, -2.28344E-02, -2.32978E-02, -2.37957E-02, -2.42997E-02, -2.47773E-02, -2.51972E-02, -2.55333E-02, -2.57671E-02, -2.58888E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -2.10320E-02, -2.12352E-02, -2.14006E-02, -2.15343E-02, -2.16486E-02, -2.17625E-02, -2.19015E-02, -2.20942E-02, -2.23679E-02, -2.27421E-02, -2.32226E-02, -2.37973E-02, -2.44367E-02, -2.50979E-02, -2.57322E-02, -2.62932E-02, -2.67434E-02, -2.70581E-02, -2.72258E-02, -2.72471E-02, -2.71316E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA, -2.13953E-02, -2.16289E-02, -2.18071E-02, -2.19283E-02, -2.19978E-02, -2.20301E-02, -2.20514E-02, -2.20993E-02, -2.22197E-02, -2.24596E-02, -2.28559E-02, -2.34237E-02, -2.41491E-02, -2.49879E-02, -2.58737E-02, -2.67311E-02, -2.74899E-02, -2.80963E-02, -2.85174E-02, -2.87417E-02, -2.87750E-02, -2.86349E-02, -2.83460E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -2.17579E-02, -2.20478E-02, -2.22705E-02, -2.24145E-02, -2.24730E-02, -2.24473E-02, -2.23524E-02, -2.22220E-02, -2.21107E-02, -2.20916E-02, -2.22453E-02, -2.26408E-02, -2.33134E-02, -2.42479E-02, -2.53762E-02, -2.65913E-02, -2.77731E-02, -2.88132E-02, -2.96339E-02, -3.01937E-02, -3.04844E-02, -3.05228E-02, -3.03406E-02, -2.99763E-02, -2.94692E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA, -2.20899E-02, -2.24599E-02, -2.27613E-02, -2.29735E-02, -2.30760E-02, -2.30513E-02, -2.28915E-02, -2.26067E-02, -2.22358E-02, -2.18553E-02, -2.15801E-02, -2.15493E-02, -2.18928E-02, -2.26878E-02,NA,NA,NA, -2.88612E-02, -3.03062E-02, -3.14209E-02, -3.21572E-02, -3.25191E-02, -3.25453E-02, -3.22912E-02, -3.18169E-02, -3.11785E-02, -3.04249E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA, -2.23582E-02, -2.28238E-02, -2.32309E-02, -2.35539E-02, -2.37621E-02, -2.38206E-02, -2.36943E-02, -2.33555E-02, -2.27977E-02, -2.20562E-02, -2.12300E-02, -2.04959E-02, -2.00944E-02,NA,NA,NA,NA,NA,NA,NA, -3.35593E-02, -3.45107E-02, -3.49352E-02, -3.49126E-02, -3.45377E-02, -3.39019E-02, -3.30843E-02, -3.21489E-02, -3.11450E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA, -2.30982E-02, -2.36238E-02, -2.40849E-02, -2.44477E-02, -2.46682E-02, -2.46917E-02, -2.44549E-02, -2.38938E-02, -2.29622E-02, -2.16666E-02, -2.01150E-02, -1.85664E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA, -3.74048E-02, -3.78527E-02, -3.77115E-02, -3.71376E-02, -3.62663E-02, -3.52052E-02, -3.40350E-02, -3.28139E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA, -2.32514E-02, -2.38923E-02, -2.44970E-02, -2.50360E-02, -2.54669E-02, -2.57311E-02, -2.57488E-02, -2.54162E-02, -2.46090E-02, -2.32007E-02, -2.11119E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.14281E-02, -4.10434E-02, -4.01501E-02, -3.89401E-02, -3.75525E-02, -3.60833E-02, -3.45965E-02, -3.31328E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA, -2.40063E-02, -2.47401E-02, -2.54471E-02, -2.60949E-02, -2.66347E-02, -2.69939E-02, -2.70657E-02, -2.66962E-02, -2.56732E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.50144E-02, -4.36259E-02, -4.19402E-02, -4.01242E-02, -3.82822E-02, -3.64770E-02, -3.47442E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
