 -2.04435E-02, -2.08738E-02, -2.12941E-02, -2.17003E-02, -2.20879E-02, -2.24525E-02, -2.27899E-02, -2.30968E-02, -2.33706E-02, -2.36103E-02, -2.38161E-02, -2.39903E-02, -2.41363E-02, -2.42583E-02, -2.43607E-02, -2.44469E-02, -2.45187E-02, -2.45753E-02, -2.46135E-02, -2.46281E-02, -2.46126E-02, -2.45604E-02, -2.44657E-02, -2.43244E-02, -2.41345E-02, -2.38964E-02, -2.36124E-02, -2.32865E-02, -2.29238E-02, -2.25302E-02, -2.21115E-02, -2.16738E-02, -2.12223E-02,
 -2.11255E-02, -2.16033E-02, -2.20720E-02, -2.25264E-02, -2.29610E-02, -2.33702E-02, -2.37486E-02, -2.40913E-02, -2.43950E-02, -2.46578E-02, -2.48802E-02, -2.50649E-02, -2.52170E-02, -2.53429E-02, -2.54493E-02, -2.55417E-02, -2.56232E-02, -2.56930E-02, -2.57468E-02, -2.57770E-02, -2.57741E-02, -2.57286E-02, -2.56324E-02, -2.54799E-02, -2.52688E-02, -2.49999E-02, -2.46768E-02, -2.43051E-02, -2.38918E-02, -2.34445E-02, -2.29707E-02, -2.24776E-02, -2.19719E-02,
 -2.18483E-02, -2.23815E-02, -2.29071E-02, -2.34189E-02, -2.39103E-02, -2.43739E-02, -2.48027E-02, -2.51900E-02, -2.55306E-02, -2.58217E-02, -2.60634E-02, -2.62592E-02, -2.64161E-02, -2.65437E-02, -2.66521E-02, -2.67501E-02, -2.68429E-02, -2.69299E-02, -2.70050E-02, -2.70570E-02, -2.70722E-02, -2.70366E-02, -2.69391E-02, -2.67722E-02, -2.65335E-02, -2.62249E-02, -2.58519E-02, -2.54228E-02, -2.49469E-02, -2.44342E-02, -2.38942E-02, -2.33358E-02, -2.27667E-02,
 -2.26140E-02, -2.32117E-02, -2.38046E-02, -2.43854E-02, -2.49460E-02, -2.54771E-02, -2.59693E-02, -2.64133E-02, -2.68015E-02, -2.71290E-02, -2.73949E-02, -2.76033E-02, -2.77637E-02, -2.78899E-02, -2.79973E-02, -2.80998E-02, -2.82059E-02, -2.83155E-02, -2.84198E-02, -2.85021E-02, -2.85421E-02, -2.85199E-02, -2.84199E-02, -2.82327E-02, -2.79563E-02, -2.75947E-02, -2.71568E-02, -2.66542E-02, -2.61000E-02, -2.55070E-02, -2.48873E-02, -2.42514E-02, -2.36084E-02,
 -2.34239E-02, -2.40969E-02, -2.47696E-02, -2.54338E-02, -2.60795E-02, -2.66954E-02, -2.72688E-02, -2.77871E-02, -2.82388E-02, -2.86157E-02, -2.89146E-02, -2.91396E-02, -2.93030E-02, -2.94243E-02, -2.95266E-02, -2.96319E-02, -2.97539E-02, -2.98935E-02, -3.00376E-02, -3.01613E-02, -3.02343E-02, -3.02281E-02, -3.01212E-02, -2.99028E-02, -2.95723E-02, -2.91378E-02, -2.86133E-02, -2.80158E-02, -2.73626E-02, -2.66706E-02, -2.59545E-02, -2.52268E-02, -2.44977E-02,
 -2.42784E-02, -2.50390E-02, -2.58064E-02, -2.65715E-02, -2.73227E-02, -2.80459E-02, -2.87251E-02, -2.93429E-02, -2.98824E-02, -3.03298E-02, -3.06777E-02, -3.09286E-02, -3.10974E-02, -3.12108E-02, -3.13035E-02, -3.14094E-02, -3.15510E-02, -3.17309E-02, -3.19293E-02, -3.21083E-02, -3.22226E-02, -3.22314E-02, -3.21067E-02, -3.18369E-02, -3.14258E-02, -3.08886E-02, -3.02469E-02, -2.95249E-02, -2.87461E-02, -2.79316E-02, -2.70990E-02, -2.62626E-02, -2.54336E-02,
 -2.51760E-02, -2.60384E-02, -2.69178E-02, -2.78049E-02, -2.86868E-02, -2.95470E-02, -3.03653E-02, -3.11185E-02, -3.17824E-02, -3.23347E-02, -3.27603E-02, -3.30569E-02, -3.32406E-02, -3.33470E-02, -3.34265E-02, -3.35315E-02, -3.36986E-02, -3.39332E-02, -3.42047E-02, -3.44547E-02, -3.46155E-02, -3.46299E-02, -3.44629E-02, -3.41059E-02, -3.35715E-02, -3.28867E-02, -3.20847E-02, -3.11991E-02, -3.02605E-02, -2.92945E-02, -2.83217E-02, -2.73576E-02, -2.64133E-02,
 -2.61135E-02, -2.70928E-02, -2.81039E-02, -2.91378E-02, -3.01812E-02, -3.12159E-02, -3.22177E-02, -3.31570E-02, -3.39999E-02, -3.47121E-02, -3.52657E-02, -3.56479E-02, -3.58720E-02, -3.59825E-02, -3.60510E-02, -3.61574E-02, -3.63604E-02, -3.66698E-02, -3.70373E-02, -3.73721E-02, -3.75740E-02, -3.75649E-02, -3.73062E-02, -3.67991E-02, -3.60738E-02, -3.51756E-02, -3.41535E-02, -3.30529E-02, -3.19119E-02, -3.07603E-02, -2.96201E-02, -2.85070E-02, -2.74314E-02,
 -2.70843E-02, -2.81966E-02, -2.93606E-02, -3.05692E-02, -3.18105E-02, -3.30659E-02, -3.43087E-02, -3.55033E-02, -3.66048E-02, -3.75631E-02, -3.83301E-02, -3.88738E-02, -3.91959E-02, -3.93460E-02, -3.94217E-02, -3.95429E-02, -3.98017E-02, -4.02138E-02, -4.07014E-02, -4.11231E-02, -4.13329E-02, -4.12314E-02, -4.07865E-02, -4.00235E-02, -3.90030E-02, -3.77972E-02, -3.64752E-02, -3.50948E-02, -3.37003E-02, -3.23237E-02, -3.09865E-02, -2.97023E-02, -2.84788E-02,
 -2.80787E-02, -2.93396E-02, -3.06782E-02, -3.20915E-02, -3.35713E-02, -3.51017E-02, -3.66570E-02, -3.81977E-02, -3.96692E-02, -4.10028E-02, -4.21229E-02, -4.29645E-02, -4.35017E-02, -4.37780E-02, -4.39176E-02, -4.40936E-02, -4.44472E-02, -4.49998E-02, -4.56232E-02, -4.60987E-02, -4.62227E-02, -4.58849E-02, -4.50837E-02, -4.38942E-02, -4.24247E-02, -4.07829E-02, -3.90591E-02, -3.73210E-02, -3.56151E-02, -3.39712E-02, -3.24065E-02, -3.09295E-02, -2.95428E-02,
