NA,NA,NA,NA,NA,NA,NA,NA,NA, -4.20994E-02, -4.24182E-02, -4.27333E-02, -4.30442E-02, -4.33507E-02, -4.36524E-02, -4.39489E-02, -4.42399E-02, -4.45250E-02, -4.48039E-02, -4.50763E-02, -4.53418E-02, -4.56001E-02, -4.58508E-02, -4.60937E-02, -4.63284E-02, -4.65546E-02, -4.67718E-02, -4.69798E-02, -4.71781E-02, -4.73664E-02, -4.75442E-02, -4.77111E-02, -4.78667E-02, -4.80104E-02, -4.81419E-02, -4.82606E-02, -4.83660E-02, -4.84578E-02, -4.85354E-02, -4.85985E-02, -4.86466E-02, -4.86794E-02, -4.86965E-02, -4.86977E-02, -4.86829E-02, -4.86518E-02, -4.86043E-02, -4.85405E-02, -4.84603E-02, -4.83638E-02, -4.82513E-02, -4.81228E-02, -4.79788E-02, -4.78194E-02, -4.76451E-02, -4.74563E-02, -4.72535E-02, -4.70370E-02, -4.68076E-02, -4.65657E-02, -4.63119E-02, -4.60469E-02, -4.57713E-02, -4.54857E-02, -4.51907E-02, -4.48871E-02, -4.45755E-02, -4.42565E-02, -4.39308E-02, -4.35990E-02, -4.32617E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -4.23137E-02, -4.26466E-02, -4.29760E-02, -4.33015E-02, -4.36228E-02, -4.39394E-02, -4.42510E-02, -4.45573E-02, -4.48578E-02, -4.51522E-02, -4.54401E-02, -4.57213E-02, -4.59954E-02, -4.62621E-02, -4.65210E-02, -4.67719E-02, -4.70143E-02, -4.72481E-02, -4.74728E-02, -4.76880E-02, -4.78935E-02, -4.80888E-02, -4.82735E-02, -4.84472E-02, -4.86093E-02, -4.87596E-02, -4.88973E-02, -4.90221E-02, -4.91334E-02, -4.92308E-02, -4.93137E-02, -4.93816E-02, -4.94341E-02, -4.94709E-02, -4.94915E-02, -4.94956E-02, -4.94829E-02, -4.94534E-02, -4.94068E-02, -4.93431E-02, -4.92622E-02, -4.91643E-02, -4.90495E-02, -4.89180E-02, -4.87700E-02, -4.86059E-02, -4.84261E-02, -4.82310E-02, -4.80210E-02, -4.77967E-02, -4.75587E-02, -4.73075E-02, -4.70439E-02, -4.67684E-02, -4.64817E-02, -4.61846E-02, -4.58777E-02, -4.55617E-02, -4.52374E-02, -4.49054E-02, -4.45665E-02, -4.42213E-02, -4.38705E-02, -4.35148E-02,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.25131E-02, -4.28602E-02, -4.32041E-02, -4.35443E-02, -4.38806E-02, -4.42123E-02, -4.45393E-02, -4.48610E-02, -4.51770E-02, -4.54871E-02, -4.57908E-02, -4.60878E-02, -4.63777E-02, -4.66603E-02, -4.69352E-02, -4.72021E-02, -4.74607E-02, -4.77107E-02, -4.79518E-02, -4.81837E-02, -4.84060E-02, -4.86184E-02, -4.88206E-02, -4.90120E-02, -4.91924E-02, -4.93612E-02, -4.95179E-02, -4.96621E-02, -4.97932E-02, -4.99106E-02, -5.00139E-02, -5.01024E-02, -5.01757E-02, -5.02332E-02, -5.02745E-02, -5.02991E-02, -5.03068E-02, -5.02970E-02, -5.02697E-02, -5.02246E-02, -5.01617E-02, -5.00808E-02, -4.99820E-02, -4.98654E-02, -4.97313E-02, -4.95798E-02, -4.94112E-02, -4.92261E-02, -4.90247E-02, -4.88077E-02, -4.85755E-02, -4.83288E-02, -4.80682E-02, -4.77945E-02, -4.75082E-02, -4.72101E-02, -4.69011E-02, -4.65817E-02, -4.62529E-02, -4.59153E-02, -4.55698E-02, -4.52171E-02, -4.48579E-02, -4.44929E-02, -4.41229E-02, -4.37486E-02,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -4.26969E-02, -4.30583E-02, -4.34169E-02, -4.37721E-02, -4.41235E-02, -4.44706E-02, -4.48131E-02, -4.51505E-02, -4.54823E-02, -4.58083E-02, -4.61279E-02, -4.64408E-02, -4.67467E-02, -4.70453E-02, -4.73361E-02, -4.76190E-02, -4.78935E-02, -4.81595E-02, -4.84167E-02, -4.86648E-02, -4.89034E-02, -4.91324E-02, -4.93514E-02, -4.95601E-02, -4.97580E-02, -4.99448E-02, -5.01201E-02, -5.02833E-02, -5.04339E-02, -5.05714E-02, -5.06952E-02, -5.08047E-02, -5.08993E-02, -5.09785E-02, -5.10416E-02, -5.10882E-02, -5.11176E-02, -5.11295E-02, -5.11235E-02, -5.10993E-02, -5.10566E-02, -5.09951E-02, -5.09150E-02, -5.08160E-02, -5.06984E-02, -5.05622E-02, -5.04077E-02, -5.02352E-02, -5.00450E-02, -4.98377E-02, -4.96138E-02, -4.93738E-02, -4.91184E-02, -4.88483E-02, -4.85642E-02, -4.82668E-02, -4.79570E-02, -4.76356E-02, -4.73033E-02, -4.69611E-02, -4.66098E-02, -4.62501E-02, -4.58830E-02, -4.55091E-02, -4.51293E-02, -4.47444E-02, -4.43551E-02, -4.39620E-02,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA, -4.24863E-02, -4.28643E-02, -4.32403E-02, -4.36137E-02, -4.39840E-02, -4.43508E-02, -4.47136E-02, -4.50719E-02, -4.54253E-02, -4.57732E-02, -4.61153E-02, -4.64512E-02, -4.67803E-02, -4.71023E-02, -4.74169E-02, -4.77238E-02, -4.80225E-02, -4.83129E-02, -4.85947E-02, -4.88675E-02, -4.91313E-02, -4.93857E-02, -4.96306E-02, -4.98656E-02, -5.00906E-02, -5.03053E-02, -5.05092E-02, -5.07021E-02, -5.08835E-02, -5.10529E-02, -5.12099E-02, -5.13539E-02, -5.14842E-02, -5.16003E-02, -5.17015E-02, -5.17871E-02, -5.18566E-02, -5.19091E-02, -5.19443E-02, -5.19615E-02, -5.19602E-02, -5.19401E-02, -5.19008E-02, -5.18420E-02, -5.17636E-02, -5.16655E-02, -5.15476E-02, -5.14102E-02, -5.12534E-02, -5.10775E-02, -5.08829E-02, -5.06701E-02, -5.04395E-02, -5.01919E-02, -4.99278E-02, -4.96481E-02, -4.93535E-02, -4.90448E-02, -4.87229E-02, -4.83887E-02, -4.80431E-02, -4.76869E-02, -4.73212E-02, -4.69468E-02, -4.65645E-02, -4.61753E-02, -4.57801E-02, -4.53795E-02, -4.49745E-02, -4.45657E-02, -4.41540E-02, -4.37399E-02,NA,NA,NA,NA,
NA,NA,NA,NA, -4.30148E-02, -4.34054E-02, -4.37937E-02, -4.41794E-02, -4.45618E-02, -4.49405E-02, -4.53150E-02, -4.56847E-02, -4.60491E-02, -4.64078E-02, -4.67601E-02, -4.71058E-02, -4.74443E-02, -4.77752E-02, -4.80982E-02, -4.84129E-02, -4.87191E-02, -4.90164E-02, -4.93047E-02, -4.95837E-02, -4.98533E-02, -5.01132E-02, -5.03634E-02, -5.06037E-02, -5.08338E-02, -5.10536E-02, -5.12628E-02, -5.14611E-02, -5.16481E-02, -5.18234E-02, -5.19865E-02, -5.21369E-02, -5.22739E-02, -5.23969E-02, -5.25051E-02, -5.25978E-02, -5.26743E-02, -5.27339E-02, -5.27759E-02, -5.27996E-02, -5.28043E-02, -5.27897E-02, -5.27551E-02, -5.27003E-02, -5.26249E-02, -5.25289E-02, -5.24121E-02, -5.22745E-02, -5.21164E-02, -5.19380E-02, -5.17397E-02, -5.15218E-02, -5.12851E-02, -5.10300E-02, -5.07575E-02, -5.04681E-02, -5.01629E-02, -4.98427E-02, -4.95084E-02, -4.91610E-02, -4.88015E-02, -4.84308E-02, -4.80501E-02, -4.76603E-02, -4.72623E-02, -4.68570E-02, -4.64455E-02, -4.60286E-02, -4.56072E-02, -4.51820E-02, -4.47539E-02, -4.43235E-02,NA,NA,NA,NA,
NA,NA,NA, -4.31475E-02, -4.35527E-02, -4.39562E-02, -4.43574E-02, -4.47557E-02, -4.51507E-02, -4.55416E-02, -4.59280E-02, -4.63093E-02, -4.66850E-02, -4.70544E-02, -4.74170E-02, -4.77724E-02, -4.81200E-02, -4.84595E-02, -4.87904E-02, -4.91125E-02, -4.94254E-02, -4.97289E-02, -5.00228E-02, -5.03069E-02, -5.05812E-02, -5.08455E-02, -5.10998E-02, -5.13440E-02, -5.15781E-02, -5.18019E-02, -5.20153E-02, -5.22180E-02, -5.24098E-02, -5.25904E-02, -5.27592E-02, -5.29157E-02, -5.30593E-02, -5.31894E-02, -5.33051E-02, -5.34057E-02, -5.34903E-02, -5.35580E-02, -5.36081E-02, -5.36397E-02, -5.36521E-02, -5.36446E-02, -5.36165E-02, -5.35674E-02, -5.34968E-02, -5.34045E-02, -5.32902E-02, -5.31540E-02, -5.29959E-02, -5.28161E-02, -5.26149E-02, -5.23929E-02, -5.21505E-02, -5.18886E-02, -5.16077E-02, -5.13089E-02, -5.09930E-02, -5.06610E-02, -5.03140E-02, -4.99530E-02, -4.95792E-02, -4.91935E-02, -4.87971E-02, -4.83912E-02, -4.79766E-02, -4.75546E-02, -4.71261E-02, -4.66920E-02, -4.62534E-02, -4.58110E-02, -4.53657E-02, -4.49183E-02, -4.44696E-02,NA,NA,NA,
NA,NA, -4.32617E-02, -4.36816E-02, -4.41003E-02, -4.45172E-02, -4.49316E-02, -4.53431E-02, -4.57509E-02, -4.61544E-02, -4.65531E-02, -4.69462E-02, -4.73331E-02, -4.77133E-02, -4.80861E-02, -4.84511E-02, -4.88075E-02, -4.91552E-02, -4.94935E-02, -4.98221E-02, -5.01409E-02, -5.04495E-02, -5.07478E-02, -5.10358E-02, -5.13133E-02, -5.15805E-02, -5.18373E-02, -5.20839E-02, -5.23202E-02, -5.25464E-02, -5.27625E-02, -5.29683E-02, -5.31637E-02, -5.33484E-02, -5.35221E-02, -5.36843E-02, -5.38344E-02, -5.39717E-02, -5.40954E-02, -5.42046E-02, -5.42983E-02, -5.43756E-02, -5.44354E-02, -5.44769E-02, -5.44989E-02, -5.45006E-02, -5.44812E-02, -5.44401E-02, -5.43765E-02, -5.42900E-02, -5.41803E-02, -5.40472E-02, -5.38907E-02, -5.37110E-02, -5.35083E-02, -5.32832E-02, -5.30361E-02, -5.27678E-02, -5.24791E-02, -5.21710E-02, -5.18445E-02, -5.15006E-02, -5.11406E-02, -5.07656E-02, -5.03769E-02, -4.99755E-02, -4.95629E-02, -4.91400E-02, -4.87082E-02, -4.82686E-02, -4.78222E-02, -4.73701E-02, -4.69134E-02, -4.64530E-02, -4.59897E-02, -4.55245E-02, -4.50581E-02, -4.45913E-02,NA,NA,
NA, -4.33566E-02, -4.37912E-02, -4.42251E-02, -4.46578E-02, -4.50885E-02, -4.55167E-02, -4.59418E-02, -4.63628E-02, -4.67793E-02, -4.71905E-02, -4.75957E-02, -4.79941E-02, -4.83851E-02, -4.87680E-02, -4.91422E-02, -4.95071E-02, -4.98623E-02, -5.02072E-02, -5.05416E-02, -5.08650E-02, -5.11775E-02, -5.14787E-02, -5.17688E-02, -5.20477E-02, -5.23157E-02, -5.25730E-02, -5.28197E-02, -5.30562E-02, -5.32826E-02, -5.34992E-02, -5.37061E-02, -5.39033E-02, -5.40908E-02, -5.42682E-02, -5.44353E-02, -5.45915E-02, -5.47360E-02, -5.48681E-02, -5.49868E-02, -5.50909E-02, -5.51794E-02, -5.52510E-02, -5.53045E-02, -5.53387E-02, -5.53524E-02, -5.53446E-02, -5.53142E-02, -5.52603E-02, -5.51824E-02, -5.50799E-02, -5.49523E-02, -5.47997E-02, -5.46220E-02, -5.44194E-02, -5.41925E-02, -5.39417E-02, -5.36679E-02, -5.33720E-02, -5.30549E-02, -5.27179E-02, -5.23622E-02, -5.19889E-02, -5.15995E-02, -5.11953E-02, -5.07777E-02, -5.03479E-02, -4.99075E-02, -4.94575E-02, -4.89994E-02, -4.85343E-02, -4.80633E-02, -4.75876E-02, -4.71083E-02, -4.66262E-02, -4.61423E-02, -4.56574E-02, -4.51724E-02, -4.46879E-02,NA,
 -4.34315E-02, -4.38806E-02, -4.43298E-02, -4.47783E-02, -4.52254E-02, -4.56706E-02, -4.61131E-02, -4.65522E-02, -4.69870E-02, -4.74169E-02, -4.78409E-02, -4.82583E-02, -4.86683E-02, -4.90701E-02, -4.94629E-02, -4.98461E-02, -5.02190E-02, -5.05810E-02, -5.09317E-02, -5.12705E-02, -5.15973E-02, -5.19119E-02, -5.22142E-02, -5.25042E-02, -5.27822E-02, -5.30485E-02, -5.33035E-02, -5.35475E-02, -5.37812E-02, -5.40049E-02, -5.42193E-02, -5.44246E-02, -5.46212E-02, -5.48093E-02, -5.49888E-02, -5.51594E-02, -5.53209E-02, -5.54725E-02, -5.56134E-02, -5.57424E-02, -5.58585E-02, -5.59602E-02, -5.60461E-02, -5.61146E-02, -5.61642E-02, -5.61933E-02, -5.62006E-02, -5.61845E-02, -5.61441E-02, -5.60782E-02, -5.59861E-02, -5.58672E-02, -5.57212E-02, -5.55479E-02, -5.53476E-02, -5.51206E-02, -5.48677E-02, -5.45894E-02, -5.42870E-02, -5.39615E-02, -5.36142E-02, -5.32465E-02, -5.28597E-02, -5.24555E-02, -5.20353E-02, -5.16007E-02, -5.11532E-02, -5.06942E-02, -5.02252E-02, -4.97476E-02, -4.92628E-02, -4.87720E-02, -4.82763E-02, -4.77771E-02, -4.72752E-02, -4.67717E-02, -4.62675E-02, -4.57634E-02, -4.52602E-02, -4.47586E-02,
