NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -5.16622E-04, -3.64714E-04, -1.93630E-04, -2.50974E-06,  2.08995E-04,  4.40687E-04,  6.91601E-04,  9.59976E-04,  1.24312E-03,  1.53737E-03,  1.83812E-03,  2.13987E-03,  2.43640E-03,  2.72101E-03,  2.98678E-03,  3.22699E-03,  3.43539E-03,  3.60668E-03,  3.73671E-03,  3.82274E-03,  3.86361E-03,  3.85968E-03,  3.81276E-03,  3.72592E-03,  3.60324E-03,  3.44950E-03,  3.26985E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.66547E-04, -5.40548E-04, -3.95389E-04, -2.29135E-04, -4.01014E-05,  1.73053E-04,  4.11110E-04,  6.74197E-04,  9.61525E-04,  1.27132E-03,  1.60060E-03,  1.94514E-03,  2.29941E-03,  2.65672E-03,  3.00931E-03,  3.34870E-03,  3.66608E-03,  3.95278E-03,  4.20080E-03,  4.40328E-03,  4.55495E-03,  4.65241E-03,  4.69435E-03,  4.68151E-03,  4.61652E-03,  4.50363E-03,  4.34836E-03,  4.15700E-03,  3.93630E-03,  3.69299E-03,  3.43351E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.72438E-04, -6.74241E-04, -5.59191E-04, -4.24697E-04, -2.68101E-04, -8.68465E-05,  1.21454E-04,  3.58768E-04,  6.26528E-04,  9.25337E-04,  1.25478E-03,  1.61317E-03,  1.99728E-03,  2.40230E-03,  2.82163E-03,  3.24705E-03,  3.66885E-03,  4.07624E-03,  4.45789E-03,  4.80252E-03,  5.09970E-03,  5.34052E-03,  5.51818E-03,  5.62843E-03,  5.66985E-03,  5.64375E-03,  5.55398E-03,  5.40647E-03,  5.20870E-03,  4.96908E-03,  4.69643E-03,  4.39939E-03,  4.08604E-03,  3.76367E-03,  3.43850E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -8.27182E-04, -7.53938E-04, -6.67786E-04, -5.65945E-04, -4.45376E-04, -3.02832E-04, -1.34902E-04,  6.17924E-05,  2.90513E-04,  5.54133E-04,  8.54953E-04,  1.19435E-03,  1.57251E-03,  1.98800E-03,  2.43753E-03,  2.91564E-03,  3.41453E-03,  3.92409E-03,  4.43211E-03,  4.92474E-03,  5.38722E-03,  5.80476E-03,  6.16359E-03,  6.45196E-03,  6.66101E-03,  6.78540E-03,  6.82363E-03,  6.77795E-03,  6.65398E-03,  6.46008E-03,  6.20647E-03,  5.90448E-03,  5.56567E-03,  5.20118E-03,  4.82119E-03,  4.43459E-03,  4.04878E-03,  3.66967E-03,  3.30171E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.78436E-04, -7.15336E-04, -6.41486E-04, -5.54000E-04, -4.49563E-04, -3.24481E-04, -1.74696E-04,  4.09176E-06,  2.16326E-04,  4.66379E-04,  7.58360E-04,  1.09578E-03,  1.48115E-03,  1.91558E-03,  2.39830E-03,  2.92613E-03,  3.49304E-03,  4.08989E-03,  4.70425E-03,  5.32069E-03,  5.92129E-03,  6.48661E-03,  6.99701E-03,  7.43403E-03,  7.78200E-03,  8.02920E-03,  8.16887E-03,  8.19955E-03,  8.12499E-03,  7.95348E-03,  7.69684E-03,  7.36925E-03,  6.98603E-03,  6.56244E-03,  6.11284E-03,  5.65003E-03,  5.18482E-03,  4.72595E-03,  4.28007E-03,  3.85190E-03,  3.44453E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA, -7.07449E-04, -6.52911E-04, -5.90329E-04, -5.16938E-04, -4.29373E-04, -3.23723E-04, -1.95530E-04, -3.98053E-05,  1.48886E-04,  3.76263E-04,  6.48192E-04,  9.70359E-04,  1.34795E-03,  1.78512E-03,  2.28451E-03,  2.84645E-03,  3.46829E-03,  4.14369E-03,  4.86202E-03,  5.60811E-03,  6.36232E-03,  7.10128E-03,  7.79913E-03,  8.42932E-03,  8.96683E-03,  9.39035E-03,  9.68422E-03,  9.83975E-03,  9.85583E-03,  9.73857E-03,  9.50032E-03,  9.15805E-03,  8.73154E-03,  8.24165E-03,  7.70864E-03,  7.15105E-03,  6.58492E-03,  6.02331E-03,  5.47633E-03,  4.95125E-03,  4.45286E-03,  3.98383E-03,  3.54519E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA, -6.58785E-04, -6.13018E-04, -5.64228E-04, -5.10512E-04, -4.49367E-04, -3.77665E-04, -2.91558E-04, -1.86474E-04, -5.70692E-05,  1.02749E-04,  2.99737E-04,  5.41241E-04,  8.34963E-04,  1.18871E-03,  1.60993E-03,  2.10516E-03,  2.67929E-03,  3.33459E-03,  4.06965E-03,  4.87826E-03,  5.74845E-03,  6.66173E-03,  7.59309E-03,  8.51173E-03,  9.38276E-03,  1.01698E-02,  1.08384E-02,  1.13589E-02,  1.17102E-02,  1.18810E-02,  1.18710E-02,  1.16903E-02,  1.13574E-02,  1.08969E-02,  1.03368E-02,  9.70563E-03,  9.03042E-03,  8.33510E-03,  7.63961E-03,  6.95952E-03,  6.30624E-03,  5.68736E-03,  5.10729E-03,  4.56785E-03,  4.06890E-03,  3.60890E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA, -5.42082E-04, -4.95522E-04, -4.48605E-04, -3.99948E-04, -3.47559E-04, -2.88789E-04, -2.20176E-04, -1.37365E-04, -3.50341E-05,  9.31253E-05,  2.54481E-04,  4.57401E-04,  7.11142E-04,  1.02578E-03,  1.41179E-03,  1.87971E-03,  2.43941E-03,  3.09919E-03,  3.86445E-03,  4.73621E-03,  5.70936E-03,  6.77090E-03,  7.89868E-03,  9.06077E-03,  1.02162E-02,  1.13173E-02,  1.23132E-02,  1.31555E-02,  1.38025E-02,  1.42246E-02,  1.44077E-02,  1.43531E-02,  1.40772E-02,  1.36085E-02,  1.29828E-02,  1.22403E-02,  1.14203E-02,  1.05589E-02,  9.68698E-03,  8.82900E-03,  8.00313E-03,  7.22170E-03,  6.49204E-03,  5.81740E-03,  5.19803E-03,  4.63191E-03,  4.11561E-03,  3.64476E-03,  3.21466E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA, -4.08935E-04, -3.57168E-04, -3.07335E-04, -2.58724E-04, -2.10062E-04, -1.59377E-04, -1.03908E-04, -3.98822E-05,  3.75694E-05,  1.34502E-04,  2.58362E-04,  4.17920E-04,  6.23422E-04,  8.86463E-04,  1.21996E-03,  1.63790E-03,  2.15484E-03,  2.78531E-03,  3.54260E-03,  4.43714E-03,  5.47430E-03,  6.65175E-03,  7.95661E-03,  9.36283E-03,  1.08298E-02,  1.23024E-02,  1.37145E-02,  1.49940E-02,  1.60706E-02,  1.68849E-02,  1.73953E-02,  1.75830E-02,  1.74532E-02,  1.70331E-02,  1.63665E-02,  1.55072E-02,  1.45128E-02,  1.34379E-02,  1.23311E-02,  1.12315E-02,  1.01689E-02,  9.16360E-03,  8.22800E-03,  7.36800E-03,  6.58459E-03,  5.87524E-03,  5.23511E-03,  4.65800E-03,  4.13700E-03,  3.66515E-03,  3.23569E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA, -2.63672E-04, -2.01974E-04, -1.43883E-04, -8.94082E-05, -3.81079E-05,  1.10767E-05,  5.99688E-05,  1.11384E-04,  1.69307E-04,  2.39090E-04,  3.27613E-04,  4.43445E-04,  5.97005E-04,  8.00654E-04,  1.06873E-03,  1.41764E-03,  1.86567E-03,  2.43273E-03,  3.13966E-03,  4.00702E-03,  5.05302E-03,  6.29053E-03,  7.72305E-03,  9.34006E-03,  1.11123E-02,  1.29882E-02,  1.48936E-02,  1.67348E-02,  1.84069E-02,  1.98067E-02,  2.08464E-02,  2.14663E-02,  2.16421E-02,  2.13866E-02,  2.07451E-02,  1.97863E-02,  1.85919E-02,  1.72452E-02,  1.58232E-02,  1.43903E-02,  1.29961E-02,  1.16753E-02,  1.04494E-02,  9.32899E-03,  8.31662E-03,  7.40914E-03,  6.59965E-03,  5.87910E-03,  5.23738E-03,  4.66419E-03,  4.14959E-03,  3.68437E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
