NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  2.06508E-03,  2.16399E-03,  2.27164E-03,  2.38839E-03,  2.51442E-03,  2.64967E-03,  2.79378E-03,  2.94603E-03,  3.10537E-03,  3.27035E-03,  3.43913E-03,  3.60954E-03,  3.77910E-03,  3.94511E-03,  4.10475E-03,  4.25520E-03,  4.39372E-03,  4.51785E-03,  4.62544E-03,  4.71482E-03,  4.78482E-03,  4.83480E-03,  4.86471E-03,  4.87499E-03,  4.86658E-03,  4.84076E-03,  4.79915E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.97748E-03,  2.06564E-03,  2.16246E-03,  2.26879E-03,  2.38535E-03,  2.51274E-03,  2.65130E-03,  2.80110E-03,  2.96185E-03,  3.13285E-03,  3.31292E-03,  3.50041E-03,  3.69318E-03,  3.88862E-03,  4.08372E-03,  4.27517E-03,  4.45947E-03,  4.63310E-03,  4.79266E-03,  4.93506E-03,  5.05764E-03,  5.15834E-03,  5.23575E-03,  5.28919E-03,  5.31869E-03,  5.32495E-03,  5.30923E-03,  5.27330E-03,  5.21925E-03,  5.14939E-03,  5.06613E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.90687E-03,  1.98362E-03,  2.06799E-03,  2.16110E-03,  2.26409E-03,  2.37806E-03,  2.50403E-03,  2.64286E-03,  2.79513E-03,  2.96111E-03,  3.14065E-03,  3.33306E-03,  3.53711E-03,  3.75091E-03,  3.97196E-03,  4.19712E-03,  4.42274E-03,  4.64471E-03,  4.85869E-03,  5.06024E-03,  5.24509E-03,  5.40933E-03,  5.54966E-03,  5.66350E-03,  5.74918E-03,  5.80594E-03,  5.83396E-03,  5.83428E-03,  5.80869E-03,  5.75954E-03,  5.68960E-03,  5.60186E-03,  5.49939E-03,  5.38515E-03,  5.26192E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.85578E-03,  1.92254E-03,  1.99521E-03,  2.07494E-03,  2.16305E-03,  2.26091E-03,  2.36998E-03,  2.49171E-03,  2.62747E-03,  2.77848E-03,  2.94566E-03,  3.12958E-03,  3.33028E-03,  3.54719E-03,  3.77902E-03,  4.02365E-03,  4.27817E-03,  4.53881E-03,  4.80110E-03,  5.05995E-03,  5.30989E-03,  5.54531E-03,  5.76079E-03,  5.95138E-03,  6.11286E-03,  6.24204E-03,  6.33688E-03,  6.39658E-03,  6.42156E-03,  6.41334E-03,  6.37442E-03,  6.30798E-03,  6.21767E-03,  6.10741E-03,  5.98107E-03,  5.84238E-03,  5.69476E-03,  5.54119E-03,  5.38422E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.88225E-03,  1.94591E-03,  2.01453E-03,  2.08931E-03,  2.17163E-03,  2.26304E-03,  2.36528E-03,  2.48016E-03,  2.60957E-03,  2.75533E-03,  2.91914E-03,  3.10241E-03,  3.30609E-03,  3.53058E-03,  3.77549E-03,  4.03954E-03,  4.32041E-03,  4.61471E-03,  4.91792E-03,  5.22456E-03,  5.52826E-03,  5.82212E-03,  6.09898E-03,  6.35189E-03,  6.57448E-03,  6.76138E-03,  6.90854E-03,  7.01349E-03,  7.07540E-03,  7.09506E-03,  7.07471E-03,  7.01781E-03,  6.92869E-03,  6.81222E-03,  6.67346E-03,  6.51740E-03,  6.34870E-03,  6.17153E-03,  5.98948E-03,  5.80549E-03,  5.62189E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.91688E-03,  1.97828E-03,  2.04349E-03,  2.11363E-03,  2.19007E-03,  2.27441E-03,  2.36853E-03,  2.47453E-03,  2.59468E-03,  2.73141E-03,  2.88714E-03,  3.06418E-03,  3.26458E-03,  3.48989E-03,  3.74100E-03,  4.01787E-03,  4.31932E-03,  4.64288E-03,  4.98464E-03,  5.33921E-03,  5.69981E-03,  6.05848E-03,  6.40641E-03,  6.73441E-03,  7.03346E-03,  7.29530E-03,  7.51298E-03,  7.68135E-03,  7.79736E-03,  7.86021E-03,  7.87125E-03,  7.83377E-03,  7.75261E-03,  7.63367E-03,  7.48344E-03,  7.30855E-03,  7.11538E-03,  6.90976E-03,  6.69677E-03,  6.48069E-03,  6.26488E-03,  6.05189E-03,  5.84352E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,NA,  1.90122E-03,  1.95984E-03,  2.02031E-03,  2.08334E-03,  2.14988E-03,  2.22114E-03,  2.29865E-03,  2.38429E-03,  2.48026E-03,  2.58910E-03,  2.71365E-03,  2.85698E-03,  3.02226E-03,  3.21263E-03,  3.43099E-03,  3.67971E-03,  3.96043E-03,  4.27366E-03,  4.61853E-03,  4.99248E-03,  5.39108E-03,  5.80791E-03,  6.23462E-03,  6.66117E-03,  7.07627E-03,  7.46798E-03,  7.82449E-03,  8.13494E-03,  8.39025E-03,  8.58376E-03,  8.71170E-03,  8.77338E-03,  8.77105E-03,  8.70950E-03,  8.59553E-03,  8.43723E-03,  8.24330E-03,  8.02244E-03,  7.78280E-03,  7.53168E-03,  7.27526E-03,  7.01853E-03,  6.76530E-03,  6.51828E-03,  6.27922E-03,  6.04908E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,NA,  1.95015E-03,  2.01057E-03,  2.07186E-03,  2.13449E-03,  2.19914E-03,  2.26677E-03,  2.33869E-03,  2.41660E-03,  2.50260E-03,  2.59928E-03,  2.70970E-03,  2.83732E-03,  2.98602E-03,  3.15993E-03,  3.36323E-03,  3.59995E-03,  3.87364E-03,  4.18700E-03,  4.54142E-03,  4.93661E-03,  5.37011E-03,  5.83702E-03,  6.32973E-03,  6.83798E-03,  7.34904E-03,  7.84834E-03,  8.32023E-03,  8.74906E-03,  9.12039E-03,  9.42216E-03,  9.64566E-03,  9.78620E-03,  9.84336E-03,  9.82074E-03,  9.72538E-03,  9.56690E-03,  9.35644E-03,  9.10572E-03,  8.82615E-03,  8.52822E-03,  8.22097E-03,  7.91186E-03,  7.60666E-03,  7.30955E-03,  7.02328E-03,  6.74940E-03,  6.48851E-03,  6.24045E-03,  6.00455E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,NA,  2.00369E-03,  2.06773E-03,  2.13188E-03,  2.19632E-03,  2.26140E-03,  2.32775E-03,  2.39631E-03,  2.46842E-03,  2.54592E-03,  2.63115E-03,  2.72710E-03,  2.83736E-03,  2.96617E-03,  3.11837E-03,  3.29924E-03,  3.51433E-03,  3.76919E-03,  4.06894E-03,  4.41781E-03,  4.81856E-03,  5.27190E-03,  5.77579E-03,  6.32501E-03,  6.91067E-03,  7.52015E-03,  8.13733E-03,  8.74323E-03,  9.31713E-03,  9.83807E-03,  1.02866E-02,  1.06464E-02,  1.09059E-02,  1.10593E-02,  1.11066E-02,  1.10536E-02,  1.09107E-02,  1.06916E-02,  1.04117E-02,  1.00868E-02,  9.73211E-03,  9.36088E-03,  8.98435E-03,  8.61139E-03,  8.24852E-03,  7.90014E-03,  7.56885E-03,  7.25575E-03,  6.96079E-03,  6.68312E-03,  6.42132E-03,  6.17369E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  2.05976E-03,  2.12926E-03,  2.19843E-03,  2.26714E-03,  2.33541E-03,  2.40345E-03,  2.47175E-03,  2.54118E-03,  2.61305E-03,  2.68926E-03,  2.77239E-03,  2.86579E-03,  2.97366E-03,  3.10109E-03,  3.25404E-03,  3.43924E-03,  3.66396E-03,  3.93572E-03,  4.26179E-03,  4.64858E-03,  5.10089E-03,  5.62107E-03,  6.20808E-03,  6.85667E-03,  7.55669E-03,  8.29274E-03,  9.04432E-03,  9.78659E-03,  1.04918E-02,  1.11316E-02,  1.16793E-02,  1.21125E-02,  1.24156E-02,  1.25812E-02,  1.26104E-02,  1.25123E-02,  1.23022E-02,  1.20000E-02,  1.16271E-02,  1.12052E-02,  1.07540E-02,  1.02905E-02,  9.82847E-03,  9.37828E-03,  8.94704E-03,  8.53911E-03,  8.15656E-03,  7.79966E-03,  7.46739E-03,  7.15783E-03,  6.86856E-03,  6.59690E-03,  6.34019E-03,  6.09589E-03,  5.86175E-03,  5.63587E-03,  5.41672E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
NA,NA,NA,NA,NA,NA,  2.19253E-03,  2.26879E-03,  2.34428E-03,  2.41867E-03,  2.49177E-03,  2.56356E-03,  2.63432E-03,  2.70475E-03,  2.77605E-03,  2.85010E-03,  2.92961E-03,  3.01829E-03,  3.12094E-03,  3.24357E-03,  3.39347E-03,  3.57907E-03,  3.80981E-03,  4.09576E-03,  4.44707E-03,  4.87322E-03,  5.38201E-03,  5.97840E-03,  6.66323E-03,  7.43189E-03,  8.27316E-03,  9.16848E-03,  1.00918E-02,NA,NA,NA,NA,NA,NA,NA,  1.44168E-02,  1.42516E-02,  1.39463E-02,  1.35295E-02,  1.30316E-02,  1.24819E-02,  1.19064E-02,  1.13268E-02,  1.07594E-02,  1.02161E-02,  9.70428E-03,  9.22769E-03,  8.78733E-03,  8.38214E-03,  8.00958E-03,  7.66627E-03,  7.34838E-03,  7.05198E-03,  6.77331E-03,  6.50895E-03,  6.25594E-03,  6.01184E-03,  5.77472E-03,  5.54322E-03,  5.31641E-03,  5.09382E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
